,Point,Pass,DontPass,betName,betAmt,Q,N
4329,4,15,0,boxcars,15,14.999999999999998,15
4330,6,15,0,buy6,15,-2.333333333333333,9
4331,4,15,0,hard8,15,-13.636363636363637,22
4332,6,15,0,anyCraps,15,-20.0,3
4333,4,0,15,hiLo,15,-4.0,15
4334,5,15,0,hard8,15,-5.217391304347826,23
4335,8,15,0,yoleven,15,-2.9032258064516117,31
4336,8,0,15,aceDuece,15,-13.499999999999998,20
4337,10,15,0,comeOdds,15,-17.5,6
4338,10,0,15,buy8,15,7.3500000000000005,10
4339,8,0,15,buy6,15,-11.325000000000001,10
4340,9,15,0,hard6,15,-12.631578947368421,19
4341,8,15,0,hiLo,15,-16.363636363636363,22
4342,4,0,15,hard8,15,-5.999999999999999,15
4343,5,0,15,aceDuece,15,-3.3333333333333357,18
4344,6,0,15,snakeeyes,15,27.500000000000007,24
4345,10,0,15,aceDuece,15,-13.333333333333334,9
4346,4,0,15,buy9,15,8.7,5
4347,10,0,15,buy4,15,14.5,6
4348,10,0,15,place9,15,1.200000000000001,5
4349,10,15,0,hard10,15,-24.0,5
4350,6,0,15,aceDuece,15,-10.5,20
4351,6,0,15,big8,15,3.75,8
4352,8,0,15,hiLo,15,4.09090909090909,22
4353,8,0,15,place9,15,13.5,4
4354,9,0,15,place6,15,1.3888888888888937,9
4355,9,0,15,dontComeOdds,15,25.0,1
4356,5,15,0,hard10,15,15.0,4
4357,5,0,15,buy6,15,-12.583333333333334,9
4358,4,15,0,place5,15,36.0,1
4359,4,15,0,hard10,15,-30.0,3
4360,8,15,0,boxcars,15,-13.636363636363637,33
4361,9,0,15,hard8,15,-6.000000000000001,25
4362,6,15,0,snakeeyes,15,-17.857142857142858,42
4363,10,15,0,snakeeyes,15,-17.368421052631582,19
4364,6,15,0,aceDuece,15,-17.5,12
4365,4,15,0,place9,15,-4.5,4
4366,6,0,15,hiLo,15,-1.4285714285714286,21
4367,6,0,15,place5,15,-6.0,4
4368,6,0,15,hard10,15,21.0,10
4369,5,0,15,big6,15,3.0000000000000004,10
4370,9,15,0,aceDuece,15,13.999999999999998,15
4371,9,15,0,yoleven,15,12.352941176470589,17
4372,10,0,15,dontCome,15,12.857142857142858,7
4373,4,15,0,buy10,15,-5.25,3
4374,8,15,0,snakeeyes,15,-5.769230769230767,39
4375,10,0,15,place6,15,1.0000000000000036,5
4376,5,15,0,snakeeyes,15,5.999999999999995,35
4377,5,15,0,buy6,15,-14.625,6
4378,10,0,15,place4,15,14.0,3
4379,4,0,15,yoleven,15,-3.3333333333333335,9
4380,10,15,0,yoleven,15,8.181818181818183,11
4381,9,15,0,place4,15,21.0,2
4382,5,0,15,world,15,31.5,2
4383,9,0,15,field,15,0.0,2
4384,10,15,0,place5,15,-7.0,6
4385,9,0,15,aceDuece,15,22.500000000000004,20
4386,5,15,0,place8,15,10.357142857142865,7
4387,8,15,0,place9,15,18.0,2
4388,8,15,0,aceDuece,15,-10.588235294117647,34
4389,9,15,0,passOdds,15,-30.0,3
4390,9,15,0,hiLo,15,-17.142857142857146,21
4391,8,0,15,snakeeyes,15,-9.375,32
4392,8,15,0,hard8,15,-1.8750000000000004,16
4393,5,15,0,boxcars,15,-5.270270270270271,37
4394,10,0,15,hard6,15,-12.0,15
4395,9,15,0,big6,15,-6.0,5
4396,5,0,15,hiLo,15,0.0,14
4397,4,15,0,bigRed,15,45.0,1
4398,4,0,15,hard6,15,5.294117647058823,17
4399,8,0,15,hard6,15,20.526315789473685,19
4400,6,15,0,place8,15,0.8333333333333357,3
4401,8,15,0,buy10,15,-20.0,3
4402,6,0,15,dontPassOdds,15,13.125,4
4403,5,0,15,hard8,15,0.0,12
4404,10,15,0,buy9,15,-2.916666666666665,9
4405,9,15,0,buy6,15,33.75,6
4406,6,15,0,buy5,15,2.25,3
4407,6,15,0,boxcars,15,5.333333333333335,45
4408,5,0,15,snakeeyes,15,-12.580645161290322,31
4409,6,15,0,hard8,15,-10.434782608695654,23
4410,5,0,15,buy9,15,-11.625,4
4411,9,15,0,comeOdds,15,-3.0,5
4412,10,15,0,big8,15,45.0,2
4413,10,0,15,hiLo,15,-22.5,4
4414,8,15,0,buy5,15,-10.65,5
4415,4,15,0,hiLo,15,-22.5,12
4416,8,0,15,hard10,15,60.0,7
4417,4,0,15,buy8,15,-2.625000000000001,8
4418,9,0,15,dontPassOdds,15,6.666666666666666,3
4419,9,0,15,hard6,15,-1.5000000000000007,20
4420,4,0,15,hard10,15,12.0,5
4421,5,0,15,boxcars,15,-9.130434782608695,23
4422,10,15,0,place6,15,11.50000000000001,10
4423,5,0,15,cAndE,15,-7.5,4
4424,8,15,0,place8,15,5.714285714285718,7
4425,8,0,15,dontCome,15,0.0,4
4426,4,15,0,anyCraps,15,0.0,1
4427,9,0,15,snakeeyes,15,-11.999999999999996,35
4428,10,0,15,hard4,15,18.75,8
4429,6,0,15,boxcars,15,-3.7500000000000013,36
4430,8,15,0,place6,15,-2.2222222222222188,9
4431,9,15,0,place8,15,2.0000000000000058,5
4432,9,15,0,boxcars,15,8.250000000000004,20
4433,10,15,0,place8,15,-8.749999999999996,6
4434,5,0,15,yoleven,15,2.1428571428571392,14
4435,6,0,15,hard4,15,13.333333333333334,9
4436,5,15,0,hard6,15,-15.0,12
4437,8,0,15,buy9,15,3.375,2
4438,5,0,15,buy10,15,-5.0,6
4439,4,15,0,big8,15,-12.857142857142858,7
4440,4,15,0,place8,15,-8.749999999999996,6
4441,4,0,15,big6,15,30.0,1
4442,8,0,15,hard8,15,-5.0,12
4443,10,0,15,snakeeyes,15,-11.052631578947366,19
4444,5,15,0,aceDuece,15,12.352941176470589,17
4445,6,15,0,passOdds,15,25.125,8
4446,5,15,0,buy4,15,-30.0,3
4447,4,15,0,buy8,15,-30.0,6
4448,6,0,15,yoleven,15,-16.95652173913043,23
4449,6,15,0,yoleven,15,6.8181818181818175,22
4450,10,15,0,boxcars,15,-18.75,16
4451,9,15,0,big8,15,6.0,5
4452,9,15,0,horn,15,-10.0,3
4453,10,0,15,yoleven,15,8.571428571428575,14
4454,10,0,15,buy9,15,-12.0,5
4455,8,15,0,place10,15,0.0,3
4456,4,0,15,boxcars,15,-9.23076923076923,13
4457,4,0,15,snakeeyes,15,-7.5,16
4458,6,15,0,buy10,15,9.5,3
4459,6,0,15,dontCome,15,-18.0,5
4460,10,0,15,big6,15,22.5,4
4461,4,15,0,comeOdds,15,0.0,5
4462,9,15,0,hard10,15,-15.0,6
4463,5,0,15,buy8,15,0.37499999999999944,6
4464,9,15,0,snakeeyes,15,-14.117647058823527,17
4465,8,15,0,big8,15,-10.0,3
4466,5,0,15,place6,15,10.000000000000004,7
4467,5,0,15,anyCraps,15,0.0,3
4468,8,15,0,big6,15,-15.0,4
4469,9,0,15,yoleven,15,4.736842105263159,19
4470,6,15,0,place5,15,-5.25,8
4471,8,0,15,yoleven,15,15.789473684210527,19
4472,5,15,0,hiLo,15,-22.5,20
4473,9,0,15,world,15,-20.0,3
4474,5,0,15,hard10,15,0.0,9
4475,8,0,15,world,15,31.5,2
4476,9,15,0,hard8,15,-2.307692307692306,13
4477,5,0,15,hard6,15,1.4285714285714277,21
4478,9,15,0,buy10,15,-15.0,2
4479,8,0,15,hard4,15,25.714285714285715,7
4480,5,0,15,hard4,15,27.0,10
4481,10,15,0,buy6,15,-21.428571428571427,7
4482,5,0,15,dontCome,15,0.0,8
4483,9,0,15,place10,15,11.0,6
4484,4,0,15,buy6,15,-3.321428571428571,7
4485,6,15,0,big6,15,-30.0,1
4486,4,0,15,bigRed,15,50.0,3
4487,10,15,0,buy5,15,-15.0,2
4488,5,0,15,horn,15,0.0,4
4489,10,15,0,buy8,15,-14.250000000000002,6
4490,10,15,0,hard8,15,-2.1428571428571446,14
4491,10,15,0,passOdds,15,-30.0,2
4492,8,15,0,hard4,15,-10.0,6
4493,9,15,0,buy8,15,22.25,3
4494,4,15,0,yoleven,15,-2.307692307692306,13
4495,10,15,0,lay8,15,-1.0416666666666679,3
4496,8,0,15,place6,15,-3.2142857142857104,7
4497,6,0,15,hard8,15,-3.6,25
4498,4,0,15,aceDuece,15,-10.714285714285714,14
4499,10,0,15,boxcars,15,-13.846153846153847,26
4500,4,15,0,lay6,15,25.312499999999993,2
4501,4,15,0,lay8,15,-30.0,1
4502,8,15,0,come,15,30.0,2
4503,6,15,0,place6,15,1.2500000000000036,4
4504,6,0,15,buy10,15,33.1875,4
4505,4,0,15,big8,15,10.0,3
4506,6,0,15,horn,15,12.321428571428571,7
4507,9,0,15,buy8,15,6.500000000000002,6
4508,9,0,15,cAndE,15,45.0,2
4509,6,0,15,hard6,15,7.5,8
4510,6,15,0,come,15,10.0,3
4511,9,15,0,come,15,0.0,2
4512,9,15,0,buy9,15,-30.0,3
4513,10,0,15,hard8,15,13.125,16
4514,5,15,0,place6,15,6.250000000000004,6
4515,5,15,0,big8,15,-30.0,2
4516,9,0,15,boxcars,15,5.689655172413793,29
4517,5,0,15,place8,15,-15.0,4
4518,5,0,15,place4,15,4.0,3
4519,6,15,0,buy8,15,0.6428571428571437,7
4520,8,15,0,anyCraps,15,-18.0,5
4521,6,15,0,world,15,-10.5,4
4522,10,15,0,big6,15,-15.0,2
4523,8,0,15,cAndE,15,0.0,6
4524,10,0,15,place5,15,0.0,1
4525,10,0,15,big8,15,-15.0,4
4526,5,15,0,yoleven,15,-19.09090909090909,11
4527,8,15,0,comeOdds,15,-14.25,4
4528,6,0,15,buy9,15,-10.65,5
4529,6,0,15,place4,15,-15.0,4
4530,10,0,15,buy5,15,-15.0,2
4531,6,15,0,hard6,15,4.5,20
4532,9,0,15,big8,15,-15.0,2
4533,6,15,0,lay6,15,7.916666666666666,3
4534,9,15,0,hard4,15,-30.0,3
4535,9,15,0,place5,15,19.2,5
4536,9,15,0,place6,15,-4.090909090909086,11
4537,9,15,0,place10,15,-15.0,4
4538,9,0,15,dontCome,15,21.428571428571427,7
4539,4,0,15,cAndE,15,0.0,1
4540,6,15,0,cAndE,15,-20.0,6
4541,4,0,15,place6,15,0.5000000000000018,5
4542,9,0,15,buy4,15,9.5,3
4543,10,0,15,buy6,15,14.785714285714286,7
4544,8,0,15,dontComeOdds,15,-10.833333333333336,3
4545,6,15,0,hard10,15,0.0,6
4546,8,15,0,hard10,15,-11.25,8
4547,4,15,0,hard4,15,-13.333333333333332,9
4548,6,0,15,anyCraps,15,22.5,4
4549,8,0,15,bigRed,15,12.857142857142856,7
4550,9,15,0,cAndE,15,-30.0,5
4551,5,15,0,place5,15,3.0,4
4552,4,15,0,buy5,15,26.75,3
4553,5,0,15,dontComeOdds,15,-2.5,2
4554,10,15,0,world,15,-22.5,2
4555,10,0,15,cAndE,15,-20.0,3
4556,4,15,0,buy9,15,-7.75,3
4557,4,0,15,buy5,15,20.0625,4
4558,10,0,15,world,15,15.0,1
4559,10,0,15,bigRed,15,0.0,2
4560,5,15,0,buy8,15,-14.4375,4
4561,4,0,15,place10,15,-30.0,1
4562,10,0,15,horn,15,-30.0,1
4563,4,15,0,place10,15,-30.0,1
4564,6,0,15,place10,15,-18.0,5
4565,5,15,0,buy5,15,3.375,4
4566,10,15,0,hard4,15,-7.5,4
4567,5,15,0,hard4,15,-15.0,8
4568,6,0,15,cAndE,15,15.0,2
4569,6,0,15,buy8,15,18.666666666666668,9
4570,4,15,0,aceDuece,15,2.6645352591003757e-15,14
4571,8,15,0,lay6,15,-30.0,1
4572,5,0,15,place9,15,-10.5,8
4573,6,15,0,field,15,-15.0,2
4574,6,15,0,hard4,15,-12.0,5
4575,8,15,0,buy6,15,-5.0,6
4576,9,0,15,buy6,15,39.15,5
4577,9,0,15,place8,15,-30.0,1
4578,10,15,0,buy10,15,-30.0,4
4579,5,15,0,place9,15,15.600000000000001,5
4580,4,0,15,place5,15,12.0,3
4581,6,15,0,big8,15,0.0,3
4582,5,15,0,big6,15,10.0,3
4583,8,0,15,buy10,15,-30.0,1
4584,8,15,0,buy8,15,-30.0,1
4585,5,15,0,cAndE,15,7.5,4
4586,10,15,0,aceDuece,15,-25.0,12
4587,5,15,0,place10,15,0.0,2
4588,6,0,15,place8,15,6.666666666666671,6
4589,9,15,0,place9,15,-13.5,4
4590,9,15,0,lay6,15,0.0,1
4591,10,0,15,lay6,15,-9.062500000000002,4
4592,9,0,15,lay8,15,-15.0,2
4593,8,0,15,horn,15,-7.5,4
4594,4,0,15,horn,15,28.75,3
4595,4,15,0,cAndE,15,75.0,2
4596,9,0,15,horn,15,58.125,2
4597,4,15,0,horn,15,-30.0,2
4598,5,15,0,comeOdds,15,3.75,4
4599,8,15,0,place5,15,-20.0,3
4600,8,15,0,buy9,15,-7.75,3
4601,6,0,15,buy4,15,3.5625,4
4602,10,15,0,buy4,15,29.25,2
4603,8,15,0,bigRed,15,0.0,2
4604,8,15,0,lay8,15,7.916666666666666,3
4605,4,15,0,buy6,15,12.25,3
4606,5,0,15,place10,15,-30.0,1
