,Unnamed: 0,Point,Pass,DontPass,betName,betAmt,Q,N
4345,4345.0,5,15,0,place6,25,-8.611111111111109,18
4346,4346.0,8,15,0,field,25,-9.0,5
4347,4347.0,10,15,0,boxcars,25,-2.678571428571428,28
4348,4348.0,6,15,0,dontCome,25,-5.0,4
4349,4349.0,8,15,0,horn,25,-27.69230769230769,13
4350,4350.0,8,15,0,hiLo,25,35.238095238095234,42
4351,4351.0,5,0,15,hard10,25,10.833333333333332,12
4352,4352.0,9,0,15,yoleven,25,-27.307692307692307,26
4353,4353.0,8,15,0,comeOdds,25,-1.363636363636367,22
4354,4354.0,9,15,0,lay6,25,-40.0,1
4355,4355.0,5,0,15,hard8,25,15.789473684210527,38
4356,4356.0,6,15,0,buy8,25,-26.634615384615387,13
4357,4357.0,8,0,15,yoleven,25,11.249999999999998,56
4358,4358.0,4,0,15,place6,25,16.266666666666662,25
4359,4359.0,9,15,0,boxcars,25,24.431818181818183,44
4360,4360.0,9,0,15,hard6,25,-5.75,40
4361,4361.0,5,15,0,hard8,25,-13.42105263157895,38
4362,4362.0,8,15,0,aceDuece,25,-16.603773584905664,53
4363,4363.0,5,15,0,big6,25,-2.0,5
4364,4364.0,10,15,0,buy5,25,-30.0,3
4365,4365.0,5,15,0,buy6,25,-11.141304347826091,23
4366,4366.0,8,0,15,aceDuece,25,3.571428571428571,56
4367,4367.0,6,0,15,boxcars,25,3.1428571428571423,70
4368,4368.0,8,15,0,passOdds,25,-16.818181818181813,11
4369,4369.0,10,0,15,hard6,25,10.58823529411765,34
4370,4370.0,8,15,0,buy6,25,13.455882352941178,17
4371,4371.0,5,15,0,hiLo,25,-7.894736842105261,19
4372,4372.0,9,0,15,place6,25,-4.456521739130434,23
4373,4373.0,4,15,0,hiLo,25,-26.153846153846153,13
4374,4374.0,4,15,0,hard8,25,3.157894736842103,38
4375,4375.0,5,15,0,boxcars,25,-12.02127659574469,47
4376,4376.0,10,0,15,big8,25,-16.428571428571427,14
4377,4377.0,10,0,15,boxcars,25,55.5,30
4378,4378.0,4,0,15,boxcars,25,3.97058823529412,34
4379,4379.0,10,0,15,lay6,25,39.72222222222222,3
4380,4380.0,4,15,0,buy9,25,11.634615384615385,13
4381,4381.0,5,0,15,place6,25,14.305555555555557,30
4382,4382.0,5,15,0,buy8,25,-4.407894736842107,19
4383,4383.0,10,15,0,hard8,25,22.307692307692307,26
4384,4384.0,9,0,15,snakeeyes,25,-5.480769230769232,52
4385,4385.0,8,15,0,hard6,25,-21.034482758620694,29
4386,4386.0,8,0,15,snakeeyes,25,-3.3333333333333317,75
4387,4387.0,9,15,0,aceDuece,25,-0.714285714285714,28
4388,4388.0,6,0,15,snakeeyes,25,-2.531645569620259,79
4389,4389.0,4,0,15,buy6,25,27.403846153846153,26
4390,4390.0,9,15,0,yoleven,25,-9.444444444444443,18
4391,4391.0,9,0,15,hiLo,25,-12.580645161290324,31
4392,4392.0,8,0,15,dontCome,25,14.736842105263158,38
4393,4393.0,6,0,15,hard4,25,-31.428571428571427,7
4394,4394.0,4,15,0,snakeeyes,25,-34.44444444444446,27
4395,4395.0,9,0,15,big8,25,-12.5,16
4396,4396.0,5,0,15,aceDuece,25,-1.1102230246251565e-15,25
4397,4397.0,5,15,0,snakeeyes,25,-9.375000000000002,40
4398,4398.0,5,0,15,yoleven,25,-7.199999999999998,25
4399,4399.0,10,0,15,place5,25,-10.0,9
4400,4400.0,9,0,15,boxcars,25,2.4193548387096784,62
4401,4401.0,9,0,15,dontCome,25,11.764705882352942,34
4402,4402.0,8,15,0,boxcars,25,-26.438356164383563,73
4403,4403.0,9,15,0,place6,25,-0.04901960784313664,17
4404,4404.0,10,0,15,yoleven,25,-19.999999999999996,15
4405,4405.0,8,0,15,place6,25,8.101851851851855,18
4406,4406.0,4,15,0,place6,25,-3.6666666666666634,25
4407,4407.0,6,15,0,snakeeyes,25,-27.14285714285715,63
4408,4408.0,6,0,15,dontPassOdds,25,7.395833333333341,8
4409,4409.0,8,0,15,hard6,25,5.813953488372094,43
4410,4410.0,9,0,15,dontComeOdds,25,-4.166666666666675,4
